NumOfGroups,GapNumSeats,MinGroupSize,MaxGroupSize,NumInfected,numOfPeople,numSusceptiblePeople,numExposedPeople_Sitting,numExposedPeople_Walking,numPeopleExposedByOthers_Sitting,numPeopleExposedByOthers_Walking,numPeopleContactedByOthers_Sitting,numPeopleContactedByOthers_Walking,mean_inf_contacts_sitting,mean_inf_contacts_walking,mean_all_contacts_sitting,mean_all_contacts_walking,mean_other_inf_contacts_sitting,mean_other_inf_contacts_walking,mean_other_contacts_sitting,mean_other_contacts_walking,ArrivalTimeEnd,ContactDistance
50,4,1,4,10,132,52,15,53,5,50,71,128,3.0909090909090913,4.075757575757576,46.40909090909091,50.36363636363637,0.5909090909090909,1.6363636363636365,9.151515151515152,19.75757575757576,8.610000000000216,33.0
50,4,1,5,10,141,73,8,42,1,37,44,138,1.6453900709219855,1.5957446808510638,44.42553191489362,46.368794326241144,0.15602836879432624,0.8723404255319149,5.418439716312057,15.063829787234043,11.199999999999823,33.0
50,4,1,6,10,166,84,18,56,6,42,64,160,2.4578313253012047,2.897590361445783,47.373493975903614,40.7710843373494,0.2891566265060241,0.8674698795180723,5.457831325301205,16.349397590361445,10.459999999999935,33.0
50,4,1,7,10,215,103,21,76,6,67,106,207,2.4837209302325585,2.5860465116279068,54.91162790697675,67.50697674418605,0.3906976744186047,1.6418604651162791,10.186046511627907,28.660465116279067,11.694999999999748,33.0
50,4,1,8,10,183,93,21,59,9,43,90,173,3.1912568306010933,3.3060109289617485,52.819672131147534,59.20218579234973,0.8961748633879781,1.2240437158469946,10.382513661202186,18.207650273224047,10.994999999999855,33.0
100,4,1,4,10,242,163,15,37,6,30,114,225,1.4834710743801651,1.4545454545454546,43.223140495867774,44.47933884297521,0.3677685950413223,0.4669421487603306,8.553719008264462,11.438016528925619,19.294999999998602,33.0
100,4,1,5,10,267,162,19,47,9,39,135,246,1.6142322097378277,1.3220973782771537,46.95880149812734,41.36329588014981,0.4906367041198502,0.41198501872659177,9.408239700374533,13.438202247191011,16.76999999999898,33.0
100,4,1,6,10,369,241,20,85,10,75,211,366,1.3224932249322494,1.4525745257452574,56.02710027100271,58.585365853658544,0.34688346883468835,0.6666666666666666,12.504065040650403,23.87533875338753,14.764999999999285,33.0
100,4,1,7,10,380,232,23,92,11,86,197,379,1.5157894736842106,1.4921052631578948,55.6,62.16842105263158,0.4105263157894737,0.9842105263157894,12.710526315789476,28.578947368421048,14.444999999999332,33.0
100,4,1,8,10,464,305,27,84,13,72,280,461,1.2543103448275863,1.2133620689655171,61.120689655172406,66.40948275862068,0.3491379310344828,0.5603448275862069,15.340517241379311,34.71551724137931,16.639999999999002,33.0
150,4,1,4,10,374,255,19,57,11,49,199,355,0.9679144385026738,1.3262032085561497,45.63101604278075,45.032085561497325,0.32620320855614976,0.4304812834224599,10.593582887700537,14.46524064171123,23.034999999998032,33.0
150,4,1,5,10,466,337,20,73,7,64,280,462,1.0858369098712446,0.7510729613733905,52.472103004291846,54.008583690987116,0.24892703862660945,0.4785407725321889,11.854077253218884,19.828326180257513,20.28499999999845,33.0
150,4,1,6,10,551,384,21,103,7,94,296,544,0.9382940108892922,1.1905626134301268,53.97096188747732,68.5480943738657,0.17604355716878406,0.7132486388384754,10.642468239564428,33.93829401088929,21.069999999998327,33.0
